id,time_steps,vi_train_time, rl_train_time,model,Ts,Tt,vi_reward,rl_reward,vi_ns,rl_ns,vi_distance,rl_distance,N
218,20000,0 days 00:00:00.001246000,0 days 00:00:48.443643000,ACER,1,750,-405.6591,-401.5396,10.5366,10.4296,0.5268299999999926,0.5214799999999953,20
219,20000,0 days 00:00:00.000914000,0 days 00:00:43.135665000,ACER,1,1000,-539.1363,-530.9712,10.5713,10.4112,0.5285649999999944,0.5205599999999898,20
220,300000,0 days 00:00:02.067565000,0 days 00:15:23.367966000,ACER,1,1000,-552.4583,-991.8462,29.2391,495.9231,0.5232192000000017,0.49592309999999823,1000
230,300000,0 days 00:00:02.009447000,0 days 00:14:05.302999000,ACER,1,1000,-547.3191,-667.1805,28.9409,158.9317,0.5183782000000016,0.508248799999997,1000
231,300000,0 days 00:00:01.867799000,0 days 00:14:00.158214000,ACER,1,1000,-551.0467,-996.411,29.1589,498.2055,0.5218877999999997,0.49820550000000147,1000
232,300000,0 days 00:00:01.860506000,0 days 00:14:03.708984000,ACER,1,1000,-548.7042,-684.2245,29.0469,184.1057,0.5196573,0.5001188000000018,1000
234,50000,0 days 00:00:01.933495000,0 days 00:02:49.706923000,ACER,1,1000,-551.8341,-689.5977,29.2425,185.7458,0.5225916000000017,0.5038518999999997,1000
235,50000,0 days 00:00:02.433748000,0 days 00:02:58.671413000,ACER,1,1000,-552.4484,-582.1781,29.2652,77.4864,0.5231832000000016,0.504691699999999,1000
239,50000,0 days 00:00:03.738677000,0 days 00:03:27.951496000,ACER,1,1000,-549.5712,-996.5012,29.0861,498.2506,0.5204851000000017,0.4982505999999995,1000
240,500000,0 days 00:00:04.038865000,0 days 00:09:38.083840000,ACER,1,1000,-551.0219,-574.2837,29.13,62.4487,0.5218919000000024,0.5118350000000028,1000
241,50000,0 days 00:00:02.531137000,0 days 00:02:51.182490000,ACER,1,1000,-549.9871,-619.9823,29.1075,119.6468,0.5208796000000016,0.5003354999999976,1000
242,100,0 days 00:00:02.703561000,0 days 00:00:02.477035000,ACER,1,1000,-546.2681,-943.107,28.9193,12.8124,0.517348799999999,0.9302946000000039,1000
243,100,0 days 00:00:02.659451000,0 days 00:00:01.466800000,ACER,1,1000,-550.6272,-1803.7987,29.1256,13.1816,0.5215016000000025,1.7906171000000322,1000
244,100,0 days 00:00:00.000294000,0 days 00:00:01.307083000,ACER,1,1000,-544.7132,-890.611,5.3932,3.691,0.5393199999999968,0.8869200000000277,10
245,100000,0 days 00:00:02.172658000,0 days 00:54:35.649416000,ACER,1,1000,-551.5858,-793.7645,29.1679,289.8563,0.5224179000000012,0.5039081999999991,1000
246,100000,0 days 00:00:04.898886000,0 days 00:03:33.963101000,ACER,1,1000,-547.3199,-557.9661,28.9391,33.9387,0.5183808000000012,0.5240274000000005,1000
247,100000,0 days 00:00:04.302188000,0 days 00:15:22.842427000,ACER,1,750,-420.103425,-536.01715,26.3193,157.7023,0.5250454999999984,0.5044197999999994,1000
248,100000,0 days 00:00:02.076149000,0 days 00:08:22.662384000,ACER,1,500,-285.745,-387.3107,22.7166,136.2648,0.5260567999999994,0.5020917999999979,1000
249,100000,0 days 00:00:02.910526000,0 days 00:10:27.552877000,ACER,1,400,-235.40373999999989,-490.1372399999988,21.3597,288.9686,0.535110099999998,0.5029215999999982,1000
250,100000,0 days 00:00:02.089750000,0 days 00:08:12.822354000,ACER,1,300,-180.57091000000293,-336.3763800000018,19.4359,185.6274,0.5371166999999979,0.5024966000000016,1000
251,100000,0 days 00:00:02.084681000,0 days 00:08:53.091073000,ACER,1,200,-126.69867999999958,-132.75607999999954,17.3442,24.6679,0.5467723999999956,0.5404409000000001,1000
252,100000,0 days 00:00:02.099313000,0 days 00:07:47.113182000,ACER,1,50,-42.56455000000053,-80.06273499999963,12.9238,51.1061,0.5928149999999964,0.5791326999999943,1000
253,100000,0 days 00:00:03.269198000,0 days 00:06:17.976116000,ACER,1,1,-10.924722000000312,-10.987530800000304,10.0562,9.9779,0.8685219999999532,1.0096307999999807,1000
254,100000,0 days 00:00:02.119283000,0 days 00:08:20.124036000,ACER,1,1000,-546.5429,-558.7793,28.8804,50.3748,0.5176625000000004,0.5084044999999998,1000
255,100000,0 days 00:00:02.216408000,0 days 00:00:41.472492000,ACER,1,750,-422.161225,-428.92285,26.3872,39.5656,0.5276986999999974,0.5191430000000008,1000
256,100000,0 days 00:00:02.245120000,0 days 00:03:14.139536000,ACER,1,500,-286.6857,-299.1192,22.7451,18.0786,0.5278811999999999,0.5620811999999953,1000
257,100000,0 days 00:00:02.252892000,0 days 00:01:31.839326000,ACER,1,400,-234.69258000000045,-240.48044000000084,21.3237,31.4398,0.5334222000000005,0.5226015999999977,1000
258,100000,0 days 00:00:02.292343000,0 days 00:11:47.954064000,ACER,1,300,-182.62211000000292,-536.9874500000004,19.5872,387.8948,0.5434496999999943,0.496975499999999,1000
259,100000,0 days 00:00:02.320147000,0 days 00:06:16.182220000,ACER,1,50,-42.46340500000047,-52.26279000000006,12.885,25.5871,0.5915680999999922,0.5335137999999991,1000
260,100000,0 days 00:00:02.443309000,0 days 00:14:58.270345000,ACER,1,1000,-547.9241,-579.3741,29.0188,73.2694,0.5189053000000021,0.5061047000000007,1000
261,100000,0 days 00:00:02.403173000,0 days 00:01:13.685859000,ACER,1,750,-418.39115,-426.7328,26.2364,31.5158,0.5228729999999954,0.5269559999999992,1000
262,100000,0 days 00:00:02.319803000,0 days 00:18:36.957879000,ACER,1,500,-288.45585,-751.5708,22.8811,501.0472,0.5311495000000015,0.5010472000000008,1000
263,100000,0 days 00:00:02.320139000,0 days 00:03:24.561838000,ACER,1,400,-234.058,-242.55699999999987,21.239,33.2752,0.5320474999999996,0.5232044999999992,1000
264,100000,0 days 00:00:02.351657000,0 days 00:11:05.149440000,ACER,1,300,-181.21822000000262,-334.7514100000015,19.5289,184.5658,0.5389643999999986,0.5006186999999996,1000
265,100000,0 days 00:00:02.350233000,0 days 00:11:57.383209000,ACER,1,200,-126.04268000000008,-137.69763999999972,17.285,33.1095,0.5437883999999991,0.5229407000000014,1000
266,100000,0 days 00:00:02.340372000,0 days 00:05:56.890119000,ACER,1,50,-42.720455000000655,-48.67226000000057,12.9423,21.6177,0.595563099999995,0.5410912000000062,1000
267,100000,0 days 00:00:02.576519000,0 days 00:05:26.981471000,ACER,1,1,-10.926401700000316,-11.050148600000128,10.0578,10.1818,0.8686016999999531,0.8683486000000036,1000
268,100000,0 days 00:00:02.353030000,0 days 00:00:40.623538000,ACER,1,1000,-549.3054,-559.9586,29.1369,35.9387,0.5201685000000015,0.5240199000000001,1000
269,100000,0 days 00:00:02.119066000,0 days 00:01:24.775465000,ACER,1,750,-422.631725,-430.504925,26.4515,51.3596,0.5282402999999993,0.5055270999999999,1000
270,10000,0 days 00:00:00.024706000,0 days 00:00:35.759138000,ACER,1,10,-14.188410000004124,-14.557720000001448,7.4731,7.2388,0.6715310000003376,0.7318920000003817,100
271,10000,0 days 00:00:02.436284000,0 days 00:00:46.191425000,ACER,1,10,-17.581807999996933,-26.57398700000248,10.7596,10.9361,0.6822208000002009,1.5637887000004924,1000
276,10000,Not Calculated,0 days 00:00:48.646593000,ACER,1,10,-17.587798999996927,-37.95864700002367,10.7634,13.4674,0.6824399000002068,2.449124699999082,1000
278,10000,0 days 00:00:02.077836000,0 days 00:00:32.986386000,ACER,1,10,-17.574463999997096,-18.424805999992763,10.7537,11.539,0.6820764000002006,0.6885806000003658,1000
279,10000,Not Calculated,0 days 00:00:40.742545000,ACER,1,10,-17.57673599999691,-136.30962400008735,10.7575,32.0644,0.681923600000202,10.42452239999758,1000
